// Compost colors for eternalores. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_dust, #989897
aluminum_ingot, #d2d2d4
aluminum_nugget, #b2b2b5
amber_dust, #f59b41
apatite_dust, #68abcd
blue_steel_dust, #5e869b
blue_steel_ingot, #5c849b
blue_steel_nugget, #5a8096
brass_dust, #e6c56e
brass_ingot, #fedc84
brass_nugget, #e1c270
britannia_silver_dust, #ffffff
britannia_silver_ingot, #ffffff
britannia_silver_nugget, #ffffff
bronze_dust, #c3944d
bronze_ingot, #c99648
bronze_nugget, #be8e48
cast_iron_dust, #9db1c8
cast_iron_ingot, #899eb6
cast_iron_nugget, #8093aa
cast_steel_dust, #838484
cast_steel_ingot, #898d8c
cast_steel_nugget, #7a7c7c
cinnabar_dust, #e85143
coal_dust, #322d33
cobalt_dust, #73b8b8
cobalt_hammer, #65938d
cobalt_ingot, #78b8b8
cobalt_nugget, #86caca
constantan_dust, #f29e51
constantan_ingot, #ea974b
constantan_nugget, #dd914a
copper_dust, #bb7f5b
copper_hammer, #dc7d5a
copper_nugget, #f8825a
diamond_dust, #48f4ea
diamond_hammer, #43ccc0
electrum_dust, #e8d497
electrum_ingot, #fbe6a5
electrum_nugget, #decc91
emerald_dust, #52ea7c
ender_dust, #c7261
enderium_dust, #74136
enderium_ingot, #3ab4a0
enderium_nugget, #33b19b
endstone_dust, #ffffc9
eternal_dark_ingot, #616261
eternal_light_ingot, #f8f8f8
fluorite, #72bbc2
fluorite_dust, #6ec6d2
gallium_dust, #bbc0cf
gallium_ingot, #c6ccdd
gallium_nugget, #b8becc
gear_aluminum, #c9c6c6
gear_bronze, #e1a858
gear_copper, #eb8362
gear_diamond, #5eebe6
gear_enderium, #54bbaa
gear_gold, #ffb233
gear_iron, #cac9c9
gear_lead, #8c8a8a
gear_osmium, #a8cce0
gear_steel, #cdcdcf
gear_tin, #faf4f4
gem_amber, #e89641
gem_apatite, #5ad2fc
gem_cinnabar, #d04136
gem_niter, #f5ffff
gem_obsidian_shard, #302246
gem_onyx, #2f2f2f
gem_peridot, #a7cf44
gem_ruby, #bf1e1e
gem_sapphire, #409eff
gem_sapphire_shard, #2d84dc
gold_dust, #ffcc2f
graphite_dust, #393939
graphite_ingot, #393939
graphite_nugget, #393939
invar_dust, #b1afaf
invar_ingot, #bebcbc
invar_nugget, #acaaaa
iridium_dust, #b2b2b1
iridium_ingot, #b2b2b1
iridium_nugget, #979694
iron_dust, #c6c6c6
iron_gem_cutter, #8a8a8a
iron_hammer, #a7a29d
lapis_lazuli_dust, #3d76ea
lead_dust, #767575
lead_ingot, #737272
lead_nugget, #737272
lumium_dust, #ffffab
lumium_ingot, #ffffc9
lumium_nugget, #fff5b4
netherite_dust, #554d50
netherite_nugget, #524a4b
netherrack_dust, #762f2f
nethersteel_dust, #982f19
nethersteel_ingot, #ab2d1e
nethersteel_nugget, #cd5c28
nickel_dust, #bbb5b5
nickel_ingot, #bcb8b8
nickel_nugget, #afacac
niter_dust, #f0fefe
obsidian_dust, #1c142d
onyx_dust, #414141
osmium_dust, #a8cfe4
osmium_ingot, #abd3ea
osmium_nugget, #a5cce1
peridot_dust, #a5cc47
pewter_dust, #939d96
