[13:00:11] [INIT] KubeJS 2101.7.1-build.181; MC 2101 NeoForge
[13:00:11] [INIT] Loaded plugins:
[13:00:11] [INIT] - dev.latvian.mods.kubejs.BuiltinKubeJSPlugin
[13:00:11] [INIT] - dev.latvian.mods.kubejs.client.BuiltinKubeJSClientPlugin
[13:00:11] [INIT] - dev.latvian.mods.kubejs.integration.architectury.ArchitecturyIntegration
[13:00:11] [INIT] - thedarkcolour.exdeorum.compat.kubejs.ExDeorumKubeJsPlugin
[13:00:11] [INIT] - com.lowdragmc.lowdraglib.kjs.LDLibKubeJSPlugin
[13:00:11] [INIT] - com.almostreliable.morejs.Plugin
[13:00:11] [INIT] - es.degrassi.mmreborn.common.integration.kubejs.MMRKubeJSPlugin
[13:00:11] [INIT] - fr.frinn.custommachinery.common.integration.kubejs.CustomMachineryKubeJSPlugin
[13:00:11] [INIT] - dev.ftb.mods.ftbxmodcompat.neoforge.ftbquests.kubejs.FTBQuestsKubeJSPlugin
[13:00:11] [INIT] - dev.ftb.mods.ftbxmodcompat.neoforge.ftbchunks.kubejs.FTBChunksKubeJSPlugin
[13:00:11] [INIT] - dev.ftb.mods.ftbxmodcompat.neoforge.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[13:00:11] [INIT] - com.almostreliable.kubeaa.KubePlugin
[13:00:11] [INIT] - dev.latvian.mods.kubejs.mekanism.MekanismKubeJSPlugin
[13:00:11] [INIT] - es.degrassi.mmreborn.mekanism.common.integration.kubejs.MMRKubeJSPlugin
[13:00:11] [INIT] - com.gregtechceu.gtceu.integration.kjs.GTKubeJSPlugin
[13:00:11] [INIT] - com.almostreliable.kubeio.KubePlugin
[13:00:11] [INIT] - com.glodblock.github.extendedae.xmod.kjs.KJSPlugin
[13:00:11] [INIT] - fr.frinn.custommachinerymekanism.common.integration.kubejs.CustomMachineryMekanismKubeJSPlugin
[13:00:11] [INFO] Skipped server_scripts:frames_recipes_expert.js: Pack mode mismatch
[13:00:11] [INFO] Loaded script server_scripts:creative_items.js in 0.0 s
[13:00:11] [INFO] Loaded script server_scripts:frames_recipes.js in 0.003 s
[13:00:11] [INFO] Loaded script server_scripts:machine_recipes_change.js in 0.001 s
[13:00:11] [INFO] Loaded script server_scripts:trades_disable.js in 0.0 s
[13:00:11] [INFO] Loaded 4/4 KubeJS server scripts in 0.025 s with 0 errors and 0 warnings
[13:00:21] [INFO] Processing recipes...
[13:00:21] [INFO] Initializing recipe event...
[13:00:21] [INFO] Skipping recipe mysticalagriculture:seed/reprocessor/rock_crystal, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/fluorite_block_8x, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/fluorite_block_9x, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/fluorite_block_6x, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/fluorite_block_7x, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/fluorite_block_4x, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/fluorite_block_5x, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/fluorite_block_2x, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/fluorite_block_3x, conditions not met
[13:00:21] [INFO] Skipping recipe pylons:harvesting/vinery/white_grape_bush, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/fluorite_block_1x, conditions not met
[13:00:21] [INFO] Skipping recipe mysticalagriculture:seed/crafting/rubber, conditions not met
[13:00:21] [INFO] Skipping recipe exdeorum:sieve/moss_block/string/origin_sapling, conditions not met
[13:00:21] [INFO] Skipping recipe mysticalagriculture:essence/botania/white_mystical_flower, conditions not met
[13:00:21] [INFO] Skipping recipe exdeorum:sieve/moss_block/iron/origin_sapling, conditions not met
[13:00:21] [INFO] Skipping recipe exdeorum:compressed_sieve/gravel/iron/magnesium_ore_chunk, conditions not met
[13:00:21] [INFO] Skipping recipe exdeorum:compressed_red_sand, conditions not met
[13:00:21] [INFO] Skipping recipe mekanism:compat/biomeswevegone/enriching/mossy_stone/stairs_conversion_mossy_stone, conditions not met
[13:00:21] [INFO] Skipping recipe megacells:cells/portable/portable_source_cell_1m_disassembly, conditions not met
[13:00:21] [INFO] Skipping recipe exdeorum:hellbark_sieve, conditions not met
[13:00:21] [INFO] Skipping recipe exdeorum:sieve/moss_block/netherite/blue_archwood_sapling, conditions not met
[13:00:21] [INFO] Skipping recipe ae2:matter_cannon/nuggets/bromine, conditions not met
[13:00:21] [INFO] Skipping recipe mysticalagriculture:essence/redstone_arsenal/flux_ingot, conditions not met
[13:00:21] [INFO] Skipping recipe mysticalagradditions:tconstruct/casting/prudentium/ingot_gold_cast, conditions not met
[13:00:21] [INFO] Skipping recipe pneumaticcraft:pneumaticcraft_fuels/hydrogen, conditions not met
[13:00:21] [INFO] Skipping recipe mysticalagradditions:gaia_spirit_crux, conditions not met
[13:00:21] [INFO] Skipping recipe megacells:cells/portable/portable_experience_cell_256m, conditions not met
[13:00:21] [INFO] Skipping recipe mekanism:compat/biomeswevegone/dye/large_lime, conditions not met
[13:00:21] [INFO] Skipping recipe mysticalagriculture:seed/crafting/elementium, conditions not met
[13:00:21] [INFO] Skipping recipe farmersdelight:integration/create/milling/wild_tomatoes, conditions not met
[13:00:21] [INFO] Skipping recipe mysticalagriculture:seed/crafting/flux_infused_ingot, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/invar_block_8x, conditions not met
[13:00:21] [INFO] Skipping recipe mekanism:compat/biomeswevegone/enriching/mossy_stone/slabs_conversion_mossy_stone, conditions not met
[13:00:21] [INFO] Skipping recipe allthecompressed:decompress/invar_block_9x, conditions not met
